"","HYY_META.T336","Time","HYY_EDDY233.u_star","HYY_EDDY233.NEE","HYY_META.PAR2","HYY_META.diffPAR","HYY_META.RHTd","HYY_META.tsoil_A","HYY_META.tsoil_B2","DiffuseFract","VaporPressureDeficit"
"1",15.69351,2012-07-01 10:00:00,0.51055,-14.225,858.753,617.481,78.76655,10.547,9.224,0.719043776266284,378.715271942323
"2",16.76254,2012-07-01 11:00:00,0.77299,-16.183,1144.92767,587.99967,70.17733,10.707,9.214,0.513569272022223,569.429961983331
"3",21.01513,2012-07-05 11:00:00,0.50772,-10.574,1298.32467,308.11733,39.29533,12.052,10.179,0.237319167631622,1511.62686240004
"4",21.70149,2012-07-05 12:00:00,0.61475,-13.253,1335.26133,492.72467,38.41167,12.282,10.178,0.369009915085311,1599.4836726059
"5",21.65285,2012-07-05 13:00:00,0.52324,-13.759,1204.039,671.29,38.164,12.579,10.205,0.557531774302992,1601.14997562285
"6",21.98457,2012-07-05 15:00:00,0.52717,-8.849,776.58067,453.752,36.60967,13.04,10.237,0.584294739141524,1674.96937998906
"7",19.1354,2012-07-07 10:00:00,0.42725,-7.159,312.95933,303.49567,71.559,12.777,10.777,0.96976073536456,630.465708097628
"8",19.47778,2012-07-07 12:00:00,0.28643,-7.476,461.529,440.51967,77.76867,13.026,10.785,0.954478851816462,503.426917933372
"9",20.72081,2012-07-07 13:00:00,0.52872,-8.438,477.20667,463.83133,70.36133,13.152,10.791,0.97197159880435,724.806044110339
"10",22.0242,2012-07-07 15:00:00,0.58763,-4.952,420.30167,409.43967,67.358,13.423,10.795,0.974156657526486,864.58884472626
"11",21.39105,2012-07-08 10:00:00,0.53495,-16.152,1344.90433,552.08133,70.07933,13.434,11.041,0.410498589144999,762.440963328551
"12",22.52243,2012-07-08 12:00:00,0.39884,-9.422,780.89,712.85533,67.93233,13.998,11.039,0.912875475419073,875.510063303827
"13",23.04679,2012-07-08 13:00:00,0.4371,-12.005,880.90633,799.01333,65.90167,14.28,11.067,0.90703551874806,961.000340247989
"14",23.16149,2012-07-08 14:00:00,0.41709,-7.973,864.614,739.27867,68.07133,14.511,11.077,0.855038976930746,906.111795373783
"15",22.90851,2012-07-08 15:00:00,0.47369,-3.702,383.55667,367.061,69.521,14.711,11.112,0.956992874090809,851.840316302752
"16",15.83903,2012-07-09 10:00:00,0.66552,-0.418,266.74033,259.62633,97.92567,14.008,11.657,0.973329867290784,37.3434351679512
"17",16.82372,2012-07-09 11:00:00,0.53234,-8.265,441.914,429.46,93.82,13.967,11.637,0.971818046045158,118.459204656386
"18",18.0208,2012-07-09 14:00:00,0.43509,-11.051,617.825,565.88233,86.534,14.122,11.603,0.915926564965807,278.391615202543
"19",15.06467,2012-07-10 10:00:00,0.44936,-3.264,325.76267,315.97833,94.11533,13.962,11.931,0.969964821322222,100.805582273789
"20",16.5017,2012-07-10 11:00:00,0.41873,-4.149,343.404,334.53967,89.57267,13.932,11.901,0.974186876099288,195.824590239361
"21",17.16873,2012-07-10 12:00:00,0.53559,-7.713,449.72867,432.52133,86.506,13.976,11.879,0.961738396620344,264.372776016114
"22",17.33776,2012-07-10 13:00:00,0.37892,-5.207,255.939,245.998,86.60533,14.067,11.876,0.961158713599725,265.247228296269
"23",18.42112,2012-07-10 14:00:00,0.81264,-9.183,687.50467,617.288,76.875,14.141,11.869,0.897867355577381,490.24356097925
"24",18.70814,2012-07-10 15:00:00,0.8753,-11.125,822.48833,586.34,73.782,14.247,11.868,0.712885494679298,565.89101444422
"25",16.76864,2012-07-15 12:00:00,0.61207,-12.62,616.64633,485.91433,65.864,12.596,11.462,0.78799517058668,652.040567360258
"26",16.30556,2012-07-16 10:00:00,0.34168,-12.663,583.125,547.904,80.25167,12.613,11.555,0.939599571275455,366.26961250966
"27",17.20959,2012-07-16 11:00:00,0.31349,-14.338,799.12767,741.42667,70.73233,12.706,11.534,0.927795016783739,574.89304848322
"28",15.48262,2012-07-16 12:00:00,0.18498,-7.344,422.976,407.394,89.94633,12.851,11.54,0.963161030413073,176.908112974977
"29",17.14767,2012-07-16 14:00:00,0.43558,-10.675,534.054,497.31033,71.47067,13.023,11.553,0.931198586659776,558.198548658401
"30",15.3667,2012-07-16 15:00:00,0.82482,-17.27,765.239,580.51333,74.338,13.11,11.576,0.75860395249066,448.211880867242
"31",15.52923,2012-07-19 12:00:00,0.63593,1.561,556.14967,283.09967,68.8945,12.016,11.327,0.50903504087308,548.982276401192
"32",13.90759,2012-07-19 13:00:00,0.4059,-2.97,279.12933,270.80567,88.63067,12.198,11.364,0.970179916241694,180.722747593151
"33",15.47161,2012-07-19 14:00:00,0.65155,-15.184,955.897,753.86367,82.81533,12.226,11.362,0.788645293373658,302.174380432046
"34",16.52341,2012-07-24 10:00:00,0.67718,-10.991,521.21933,490.72833,83.036,12.227,11.139,0.941500634675234,319.02313189397
"35",17.00444,2012-07-24 11:00:00,0.68622,-9.613,482.13633,461.65067,80.06333,12.34,11.131,0.957510648492305,386.553950471291
"36",17.0128,2012-07-24 12:00:00,0.60156,-6.317,327.84367,314.846,81.18167,12.487,11.148,0.96035406143422,365.06369482071
"37",17.77549,2012-07-24 13:00:00,0.63801,-14.53,888.69233,747.09567,74.65233,12.585,11.155,0.840668524730038,516.002224775927
"38",18.94285,2012-07-24 14:00:00,0.7503,-14.519,834.88867,587.72733,67.27867,12.747,11.161,0.703958924247948,716.691326311775
"39",13.69212,2012-08-26 10:00:00,0.40226,-17.636,728.67667,531.55767,86.76933,11.853,11.641,0.729483585634765,207.38506569204
"40",15.08848,2012-08-26 11:00:00,0.39925,-16.221,834.75967,570.07833,76.41267,11.963,11.612,0.682925098669417,404.675190621041
"41",15.49451,2012-08-26 12:00:00,0.37309,-11.261,500.814,460.55867,73.65167,12.117,11.589,0.91962019831714,463.988675507553
"42",15.78554,2012-08-26 13:00:00,0.46529,-14.618,913.511,673.18033,69.05033,12.284,11.594,0.736915406601563,555.272843319808
"90",19.1427,2013-08-03 11:00:00,0.26002,-9.852,744.25933,317.31267,68.04833,13.991,12.31,0.426346915933187,708.610760653378
"91",20.48839,2013-08-03 12:00:00,0.31313,-11.301,1068.218,359.95633,58.506,14.252,12.318,0.336968980114546,1000.29768854214
"92",21.40542,2013-08-03 13:00:00,0.4442,-13.72,1510.199,310.00833,51.00233,14.422,12.313,0.205276476808685,1249.66180074153
"93",22.35678,2013-08-03 14:00:00,0.48104,-8.494,1341.569,221.409,44.43967,14.611,12.305,0.165037355514327,1501.71829545219
"94",22.73148,2013-08-03 15:00:00,0.5429,-7.811,1254.329,261.76833,44.17333,14.78,12.318,0.208691922135261,1543.62764463664
"95",21.87965,2013-08-04 10:00:00,0.39483,-12.454,1251.06567,336.17533,55.09433,13.937,12.432,0.268711178047112,1178.97950096601
"96",22.61968,2013-08-04 11:00:00,0.48506,-10.449,1209.136,488.625,50.31867,14.266,12.416,0.404110869248786,1364.42587821374
"97",23.32804,2013-08-04 12:00:00,0.3725,-7.163,1357.844,350.588,42.25,14.587,12.402,0.258194608511729,1655.46367003389
"98",23.9984,2013-08-04 13:00:00,0.49876,-3.84,1390.19533,260.26633,39.045,14.826,12.407,0.187215655515114,1819.26773686655
"99",24.65843,2013-08-04 14:00:00,0.53211,-5.073,1280.96267,217.23833,34.73833,15.087,12.407,0.169589899134219,2026.31755035982
"100",24.81412,2013-08-04 15:00:00,0.50327,-4.576,1063.71233,365.45133,35.57933,15.284,12.425,0.343562182831894,2018.87857606181
