"","AirTemp","Time","FricVel","NEP","PPFD","PPFDdiff","RelHum","SoilTempA","SoilTempB","DiffuseFract","VaporPressureDeficit"
"1",12.28699,2012-07-01 03:00:00,0.27914,3.521,13.209,10.01233,96.32767,10.227,9.252,0.757993035051859,52.5068127565337
"2",12.346,2012-07-01 03:30:00,0.23966,2.372,45.18533,41.69,96.595,10.226,9.259,0.922644583983341,48.8738631356889
"3",12.38068,2012-07-01 04:00:00,0.23077,1.338,76.067,72.085,96.20733,10.207,9.254,0.947651412570497,54.5625747922013
"4",12.55936,2012-07-01 04:30:00,0.30317,1.514,76.89933,72.59467,95.54467,10.198,9.249,0.944022139074554,64.8525898746702
"5",12.77271,2012-07-01 05:00:00,0.35537,2.761,83.051,78.305,94.557,10.191,9.247,0.942854390675609,80.3457674700944
"6",13.01406,2012-07-01 05:30:00,0.38387,-0.744,184.65033,176.47567,93.08967,10.196,9.25,0.955728971618951,103.630063356712
"7",13.2874,2012-07-01 06:00:00,0.43254,-3.194,200.73967,192.97833,90.79367,10.205,9.241,0.96133629192476,140.549540606134
"8",13.43308,2012-07-01 06:30:00,0.51919,-2.654,180.46567,175.531,89.736,10.224,9.242,0.97265590735346,158.192628038583
"9",13.58476,2012-07-01 07:00:00,0.39358,-3.464,218.36933,211.42367,88.81633,10.259,9.244,0.968193060811241,174.07865287279
"10",13.71211,2012-07-01 07:30:00,0.40601,-5.15,331.291,319.47,87.715,10.285,9.233,0.964318378706334,192.812648869248
"11",13.84579,2012-07-01 08:00:00,0.48938,-6.714,339.837,335.18967,87.373,10.307,9.223,0.986324826313792,199.910083313726
"12",14.24914,2012-07-01 08:30:00,0.43326,-11.56,707.838,596.96533,84.27967,10.359,9.227,0.843364343253682,255.481562060606
"13",14.58548,2012-07-01 09:00:00,0.54877,-8.863,434.49733,413.979,84.048,10.404,9.218,0.952776855959046,264.948072074778
"14",15.11916,2012-07-01 09:30:00,0.55855,-17.877,615.29433,568.801,81.85767,10.467,9.212,0.924437252655977,311.873139215402
"15",15.69351,2012-07-01 10:00:00,0.51055,-14.225,858.753,617.481,78.76655,10.547,9.224,0.719043776266284,378.715271942323
"16",16.18386,2012-07-01 10:30:00,0.55293,-10.829,779.863,521.65,76.53133,10.599,9.196,0.668899537482865,431.906326707801
"17",16.76254,2012-07-01 11:00:00,0.77299,-16.183,1144.92767,587.99967,70.17733,10.707,9.214,0.513569272022223,569.429961983331
"18",17.12988,2012-07-01 11:30:00,0.70068,-15.417,870.61933,545.56633,67.48567,10.781,9.195,0.626641646010777,635.452152777195
"19",17.6579,2012-07-01 12:00:00,0.80606,-23.171,1205.75967,778.593,66.32467,10.911,9.209,0.645728182300209,680.467253708117
"20",18.41525,2012-07-01 12:30:00,0.76899,-18.229,1273.393,570.43233,61.93967,11.035,9.214,0.447962514321973,806.57162300864
"21",19.28459,2012-07-01 13:00:00,0.79241,-16.889,1651.88367,585.62733,55.42467,11.152,9.232,0.354520927009346,997.348067660075
"22",19.54727,2012-07-01 13:30:00,0.75494,-19.345,1567.062,492.30733,53.603,11.275,9.224,0.31415944614827,1055.20334768608
"23",19.83895,2012-07-01 14:00:00,0.67375,-11.656,1261.63333,460.95267,52.066,11.466,9.247,0.365361836152506,1110.06961512061
"24",19.96163,2012-07-01 14:30:00,0.59016,-11.617,1186.84233,540.28267,52.314,11.576,9.263,0.455226997169877,1112.7513561531
"25",20.21865,2012-07-01 15:00:00,0.72726,-11.091,1101.823,430.57433,51.738,11.683,9.272,0.390783574131235,1144.24087158151
"26",20.37533,2012-07-01 15:30:00,0.69548,-6.607,845.13267,445.72867,51.45833,11.77,9.286,0.52740674431625,1162.06211303377
"27",20.63034,2012-07-01 16:00:00,0.73813,-6.347,711.078,423.526,49.263,11.846,9.3,0.595611170645133,1233.86714653242
"28",20.76102,2012-07-01 16:30:00,0.7023,-6.304,894.265,274.25,48.50833,11.942,9.33,0.306676432601075,1262.3357483806
"29",21.3147,2012-07-01 17:00:00,0.70499,-7.107,916.99333,247.558,45.91367,11.964,9.345,0.269967067263183,1371.80139088325
"30",21.40205,2012-07-01 17:30:00,0.61477,-8.166,858.00433,290.416,46.46267,11.998,9.338,0.338478478307913,1365.16188971787
"31",20.86939,2012-07-01 18:00:00,0.77698,-3.047,413.50567,255.74967,49.62467,12.015,9.367,0.618491325644942,1243.22822026134
"32",20.90541,2012-07-01 18:30:00,0.65044,-4.911,582.88133,276.65233,49.185,12.052,9.399,0.474628909455721,1256.8591293901
"33",20.45175,2012-07-01 19:00:00,0.63551,1.475,196.581,176.21833,51.593,12.082,9.437,0.896415879459358,1164.31552502776
"34",19.9541,2012-07-01 19:30:00,0.359,1.48,113.96867,109.06633,54.08567,12.119,9.484,0.956985196019222,1070.91002927031
"35",19.57878,2012-07-01 20:00:00,0.35855,2.562,105.44833,98.10733,55.02333,12.128,9.511,0.930382965761525,1024.90487590663
"36",19.1968,2012-07-01 20:30:00,0.46517,3.567,27.66933,24.60933,57.271,12.123,9.532,0.889408236484223,950.825388034099
"37",16.10534,2012-07-02 04:30:00,0.67645,7.555,18.48867,15.51967,81.865,11.682,9.761,0.839415166153109,332.080213494147
"38",15.56002,2012-07-02 05:00:00,0.77443,6.67,28.626,25.515,81.70567,11.676,9.769,0.891322573883882,323.515307655716
"39",15.1757,2012-07-02 05:30:00,0.57746,1.678,91.52833,86.783,80.52033,11.682,9.795,0.948154522211866,336.082212208056
"40",14.93805,2012-07-02 06:00:00,0.56612,3.277,87.831,83.305,80.563,11.669,9.803,0.948469219296148,330.256538204128
"41",14.80273,2012-07-02 06:30:00,0.64139,-2.505,289.381,275.40533,79.06833,11.668,9.814,0.951704949530204,352.564521586665
"42",14.68441,2012-07-02 07:00:00,0.52559,-6.94,320.90733,255.14067,78.45033,11.656,9.819,0.795060274877486,360.213818279681
"43",14.97176,2012-07-02 07:30:00,0.78083,-10.769,793.71267,222.14433,73.675,11.662,9.823,0.279880035176961,448.263568362546
"44",15.83144,2012-07-02 08:00:00,0.70904,-16.373,1143.241,304.99367,67.51667,11.617,9.804,0.266779856565676,584.502188734524
"45",16.05945,2012-07-02 08:30:00,0.777,-12.136,881.93267,321.673,66.03933,11.64,9.811,0.364736459983958,620.054031720126
"46",16.5398,2012-07-02 09:00:00,0.79999,-15.616,1129.531,419.32933,63.37633,11.655,9.818,0.371241984505073,689.459128719025
"47",16.75515,2012-07-02 09:30:00,0.87495,-11.225,1119.508,329.324,57.87767,11.668,9.815,0.294168509738206,803.900693939865
"48",17.12116,2012-07-02 10:00:00,1.0071,-18.134,1382.56167,375.989,55.59167,11.682,9.802,0.27195097922829,867.426591673133
"49",17.84651,2012-07-02 10:30:00,0.89561,-16.718,1499.881,404.12,53.168,11.742,9.799,0.269434708486873,957.631552653552
"50",17.72552,2012-07-02 11:00:00,1.067,-13.508,1045.929,471.85333,52.10233,11.833,9.81,0.451133231796805,971.987588461276
"51",18.26753,2012-07-02 11:30:00,1.0022,-15.329,1514.341,430.043,48.24633,11.936,9.804,0.283980292417626,1086.64710866777
"52",17.82888,2012-07-02 12:00:00,1.1693,-11.571,876.08367,447.94933,49.01533,12.022,9.818,0.511308845649411,1041.38980300084
"53",17.96891,2012-07-02 13:00:00,1.1753,-15.18,1448.959,464.02833,45.45067,12.158,9.837,0.320249454953522,1124.06117619067
"54",17.89959,2012-07-02 13:30:00,1.1914,-16.348,1484.748,402.703,46.21133,12.248,9.842,0.271226497695232,1103.56378961526
"55",17.7586,2012-07-02 14:00:00,1.0899,-15.958,1400.049,440.84267,45.75467,12.292,9.852,0.314876600747545,1103.09731750808
"56",17.85495,2012-07-02 14:30:00,1.2619,-16.212,1508.76033,324.793,43.079,12.355,9.863,0.215271434131622,1164.55231587551
"57",17.51896,2012-07-02 15:00:00,1.0935,-12.681,1238.866,347.22933,43.05833,12.399,9.877,0.280279973782475,1140.56301273098
"58",16.93931,2012-07-02 15:30:00,1.0528,-12.112,879.825,373.322,47.06433,12.431,9.89,0.424313926064842,1022.14615332245
"59",17.00832,2012-07-02 16:00:00,0.96175,-10.772,927.34733,328.17567,47.268,12.446,9.911,0.35388646668126,1022.67707236936
