"","PPFD","Time","PPFDdiff","RelHum","AirTemp","SoilTempA","SoilTempB","FricVel","NEP","DiffuseFract","VaporPressureDeficit"
"1",397.43394,2020-07-01 07:30:00,392.26672,94.01483,13.45,12.624,11.1415,0.76653,2.484,0.986998543707666,92.3474852155239
"2",704.77962,2020-07-01 08:00:00,533.43595,90.58492,13.90867,12.611,11.1335,0.85997,-1.787,0.756883336098737,149.669195092347
"3",693.9786,2020-07-01 08:30:00,530.1915,86.19497,14.52033,12.5945,11.0965,0.82403,-1.373,0.763988255545632,228.325753091575
"4",1189.50304,2020-07-01 09:00:00,591.40994,77.2502,15.38733,12.6275,11.093,1.1167,-11.132,0.49719077641029,397.873986213383
"5",1094.90693,2020-07-01 09:30:00,694.64915,75.72664,15.606,12.6635,11.08,1.03984,-10.25,0.634436709611473,430.514626462539
"6",352.54513,2020-07-01 10:00:00,280.9534,82.02969,14.27667,12.72,11.0725,0.63312,-2.172,0.796928892479666,292.568614092735
"7",266.066,2020-07-01 10:30:00,264.39578,91.44656,12.59533,12.815,11.067,0.61249,-1.112,0.99372253501011,124.799712311235
"8",174.85394,2020-07-01 11:00:00,174.83427,94.72469,12.54167,12.9375,11.2795,0.33461,1.136,0.999887506109385,76.6992419323726
"9",1014.97374,2020-07-01 11:30:00,797.45173,93.96636,13.30867,12.954,11.149,0.57281,3.761,0.785687056297634,92.2412341593556
"10",434.05994,2020-07-01 12:00:00,419.93261,89.41172,13.676,12.962,11.1,0.69942,-1.83,0.967453043466762,165.792775426967
"11",888.22953,2020-07-01 12:30:00,613.33332,92.05758,13.86433,13.0145,11.22,0.54183,-2.619,0.690512192270842,125.895581311682
"12",397.76372,2020-07-01 13:00:00,387.95161,92.81067,13.86567,13.056,11.133,0.53457,-0.373,0.975331812564505,113.968245676572
"13",171.34306,2020-07-01 13:30:00,170.79445,92.75619,13.247,13.1045,11.111,0.66298,3.52,0.996798177877762,110.297247443421
"14",227.43128,2020-07-01 14:00:00,226.16394,94.77047,13.04267,13.1685,11.125,0.58413,2.583,0.994427591490493,78.5709901579576
"15",177.27111,2020-07-01 14:30:00,177.27111,95.89647,12.789,13.2065,11.131,0.6193,0.746,1,60.6381401659237
"16",334.2965,2020-07-01 15:00:00,334.20567,96.14875,12.908,13.219,11.13,0.59996,1.706,0.999728295091334,57.3554528476693
"17",372.80439,2020-07-01 15:30:00,371.54461,93.44808,13.22933,13.19,11.1,0.69006,-2.907,0.996620801595174,99.6472184907789
"18",555.19917,2020-07-01 16:00:00,540.15284,88.56294,13.259,13.1975,11.1085,0.83603,0.655,0.972899221012884,174.28188183125
"19",555.88122,2020-07-01 16:30:00,492.58134,85.4187,13.46233,13.204,11.1235,0.77353,-3.622,0.886126967915916,225.161345567252
"20",798.69388,2020-07-01 17:00:00,442.29584,82.03734,13.79367,13.194,11.1135,0.982,-3.425,0.553773918988837,283.422388834901
"21",653.14144,2020-07-01 17:30:00,299.28566,72.16764,13.85333,13.2165,11.129,1.02116,-5.195,0.458224883112607,440.856560910812
"22",592.66073,2020-07-01 18:00:00,192.15167,71.09058,13.589,13.2065,11.118,0.98928,-3.411,0.32421866385512,450.111845679763
"23",364.39567,2020-07-01 18:30:00,202.88467,69.99301,13.292,13.205,11.1235,0.75349,-2.108,0.556770254706923,458.242857368796
"24",265.49522,2020-07-01 19:00:00,170.02494,68.10094,12.98633,13.185,11.1185,0.78592,-1.617,0.640406783971478,477.504080608632
"25",175.81955,2020-07-01 19:30:00,137.81156,70.91447,12.589,13.1575,11.127,0.69346,0.924,0.783823869416114,424.198704487305
"26",161.50989,2020-07-01 20:00:00,94.63044,71.78708,12.36367,13.144,11.159,0.65991,0.712,0.585911116650503,405.42653580738
"27",120.90584,2020-07-01 20:30:00,72.55022,72.90642,12.054,13.105,11.1665,0.54479,3.704,0.600055547358176,381.484850180885
"28",63.08461,2020-07-01 21:00:00,47.21411,74.99864,11.66033,13.0555,11.1775,0.48419,5.462,0.748425170576469,342.99517510374
"29",25.28217,2020-07-01 21:30:00,22.41922,76.95858,11.19367,13,11.1865,0.49157,3.406,0.886760115923593,306.484240623296
"30",27.45828,2020-07-02 03:00:00,24.32211,91.40628,7.89167,12.156,11.2335,0.21454,3.312,0.885784178761379,91.5427275237303
"31",68.32406,2020-07-02 03:30:00,46.09611,91.10878,7.991,12.065,11.2225,0.17305,2.236,0.674668777001835,95.3549987210401
"32",134.52684,2020-07-02 04:00:00,68.79978,89.98997,8.282,11.98,11.205,0.21349,0.504,0.511420471929616,109.500303984972
"33",229.8005,2020-07-02 04:30:00,91.98406,88.47161,8.578,11.8825,11.172,0.20382,-0.605,0.400277893216072,128.668812725222
"34",355.54434,2020-07-02 05:00:00,108.09833,86.99358,9.141,11.795,11.151,0.24271,-1.097,0.304036143565104,150.799241491876
"35",457.01656,2020-07-02 05:30:00,126.4975,85.05878,9.86967,11.69,11.1065,0.32043,-5.063,0.276789751338551,181.935938898461
"36",559.54345,2020-07-02 06:00:00,198.90871,80.41292,10.69967,11.611,11.0725,0.23488,-6.412,0.355483939629711,252.116651980429
"37",351.8571,2020-07-02 06:30:00,222.51566,75.73994,11.206,11.545,11.039,0.19678,-3.842,0.63240349562365,322.958078157644
"38",736.03944,2020-07-02 07:00:00,156.93399,73.38378,11.58133,11.5075,11.021,0.23873,-7.976,0.213214104396362,363.246570126822
"39",941.70988,2020-07-02 07:30:00,145.14083,66.24248,12.49633,11.4835,11.0035,0.22158,-9.029,0.154124782040091,489.351135328424
"40",1067.33037,2020-07-02 08:00:00,153.39917,57.81116,13.34333,11.454,10.961,0.41712,-2.59,0.1437222947193,646.435776207191
