"","PAR","Time","DiffRad","RelHum","AirTemp","SoilTempA","FricVel","NEE","DiffuseFract","VaporPressureDeficit"
"1",30.25672,2019-01-02 10:30:00,30.25306,92.29556,-7.834,1.2025,1.09307,0.389,0.999879035136657,26.1049106511998
"2",53.21789,2019-01-02 11:00:00,53.21789,91.41614,-8.04067,1.21,1.1177,0.599,1,28.6201350258376
"3",62.78389,2019-01-02 11:30:00,62.78389,91.13969,-8.27467,1.213,1.12814,0.672,1,29.0072143586809
"4",57.46667,2019-01-02 12:00:00,57.46667,91.10208,-8.52233,1.22,0.91383,0.248,1,28.571493891735
"5",47.78472,2019-01-02 12:30:00,47.77478,89.92925,-8.882,1.209,0.92269,0.646,0.999791983713622,31.4381011937259
"6",24.71961,2019-01-02 14:30:00,22.37456,87.77111,-9.32267,1.231,0.84568,-0.132,0.905134021127356,36.8739881857798
"7",10.507,2019-01-03 09:30:00,10.09406,91.37039,-14.237,1.219,0.43171,0.452,0.960698581897783,17.5116789067604
"8",32.46756,2019-01-03 10:00:00,27.56344,91.02039,-13.79633,1.225,0.47316,0.535,0.848953232087659,18.8940818347225
"9",59.86161,2019-01-03 10:30:00,44.9685,90.84025,-13.74367,1.2285,0.39496,0.301,0.751207660468871,19.3565398066822
"10",84.25244,2019-01-03 11:00:00,57.86456,90.97567,-13.71167,1.215,0.36236,0.444,0.686799812563292,19.120467393847
"11",106.24105,2019-01-03 11:30:00,68.67689,91.14772,-13.81467,1.215,0.39429,0.223,0.64642518122703,18.5981594943095
"12",27.99611,2019-01-04 10:30:00,27.99294,99.38503,-3.873,1.1415,0.4057,1.279,0.999886769983401,2.82131384243962
"13",53.05206,2019-01-04 13:00:00,53.05206,99.99981,-2.452,1.11,0.45472,0.798,1,0.000969362174146227
"14",31.24206,2019-01-04 13:30:00,31.24189,99.96803,-2.55967,1.107,0.37914,0.113,0.999994558617454,0.161807626028292
"15",20.59644,2019-01-04 14:00:00,20.59494,99.90039,-2.86067,1.1025,0.41671,0.636,0.999927171880189,0.492974649739836
"16",40.21694,2019-01-07 10:00:00,35.077,100,-0.297,1.1165,0.35059,-0.091,0.872194652303233,0
"17",52.3335,2019-01-07 10:30:00,47.43944,100,-0.372,1.118,0.40809,-0.137,0.906483227760421,0
"18",66.48844,2019-01-07 11:00:00,62.39878,100,-0.46467,1.109,0.39688,0.148,0.938490660932938,0
"19",88.52739,2019-01-07 11:30:00,81.376,100,-0.57733,1.1165,0.41967,-0.261,0.919218334574192,0
"20",98.62161,2019-01-07 12:30:00,94.39289,99.96372,-0.77733,1.115,0.36438,0.07,0.957121770776202,0.209439658489373
"21",79.97461,2019-01-07 13:00:00,79.123,99.54058,-0.91,1.1135,0.36127,0.007,0.989351495430862,2.62650544330086
"22",43.99172,2019-01-08 13:00:00,43.99172,100,-2.55633,1.185,0.39214,-0.11,1,0
"23",183.23177,2019-01-11 12:00:00,126.59395,99.48797,-1.72567,1.2325,0.76485,0.275,0.690895197923373,2.75673086248639
"24",108.74505,2019-01-11 13:00:00,84.02911,98.25575,-1.605,1.2275,0.76628,0.285,0.772716643194334,9.47492480688322
"25",77.43866,2019-01-11 13:30:00,70.55394,97.59442,-1.59,1.233,0.80905,0.889,0.911094535984998,13.0817966321671
"26",54.94717,2019-01-11 14:00:00,54.92394,96.84378,-1.45067,1.2235,0.7561,0.516,0.999577230274098,17.3410580045778
"27",36.74539,2019-01-11 14:30:00,36.74033,97.02855,-1.27633,1.2265,0.95256,0.621,0.999862295651237,16.536779412648
"28",12.30394,2019-01-11 15:00:00,12.15483,97.79464,-1.06,1.2275,0.96093,0.782,0.987881117755776,12.4700241111466
"29",16.89983,2019-01-12 09:30:00,15.56944,90.44155,-3.85433,1.297,0.49468,0.283,0.921277906345803,43.9131644675943
"30",43.618,2019-01-12 10:00:00,34.26078,91.44897,-4.02767,1.299,0.43308,0.336,0.785473428401119,38.7757651031289
"31",73.73711,2019-01-12 10:30:00,50.39439,91.66361,-4.034,1.301,0.47833,0.276,0.683433212937149,37.7844343777404
"32",103.74966,2019-01-12 11:00:00,63.84244,91.08458,-3.931,1.3025,0.41337,0.154,0.615350835848522,40.7234235812454
"33",122.13873,2019-01-12 11:30:00,70.21339,90.78861,-3.81933,1.2995,0.47232,0.23,0.574865892252196,42.4302240595499
"34",140.03589,2019-01-12 12:00:00,76.226,90.83506,-3.75367,1.304,0.43854,0.352,0.544331885204572,42.4251048869783
"35",142.7894,2019-01-12 12:30:00,76.40661,90.17417,-3.66333,1.295,0.41961,0.317,0.535100014426841,45.7940733115848
"36",15.23633,2019-01-14 10:00:00,15.17478,97.9115,-4.489,1.245,0.40717,-0.199,0.995960313277541,9.14655508738548
"37",36.40094,2019-01-14 10:30:00,36.40094,97.51278,-5.175,1.255,0.50344,0.289,1,10.3405661760618
"38",62.85472,2019-01-14 11:00:00,62.59567,97.44525,-5.35433,1.257,0.45334,0.163,0.995878591138422,10.4773240271531
"39",84.75272,2019-01-14 11:30:00,83.11089,97.44958,-5.46967,1.2625,0.4191,0.242,0.980627996364011,10.3680243370595
"40",109.67739,2019-01-14 12:00:00,107.17955,97.55986,-5.455,1.269,0.41055,0.158,0.977225570375079,9.93081343784922
"41",64.15156,2019-01-14 12:30:00,64.15156,97.50525,-5.40333,1.2745,0.41176,0.542,1,10.1931308803676
"42",55.08356,2019-01-14 13:00:00,55.08356,96.88519,-5.48933,1.269,0.4501,0.179,1,12.643425477124
"43",27.48128,2019-01-14 14:00:00,27.48128,95.45272,-5.75767,1.27,0.41662,0.386,1,18.0836801202275
"44",20.78244,2019-01-15 10:00:00,20.77694,95.53078,-8.11167,1.3,0.585,0.376,0.999735353500359,14.8188941687553
"45",34.97883,2019-01-15 10:30:00,34.97883,95.22231,-8.345,1.3025,0.66989,0.228,1,15.5556411317723
"46",53.54683,2019-01-15 11:00:00,53.54683,94.99008,-8.49133,1.304,0.68812,0.379,1,16.1260969140503
"47",57.71694,2019-01-15 11:30:00,57.71694,94.63514,-8.54467,1.309,0.57023,0.17,1,17.1966198777663
"48",61.51011,2019-01-15 12:00:00,61.51011,95.24653,-8.44633,1.305,0.59437,0.196,1,15.3546088220633
"49",58.65928,2019-01-15 12:30:00,58.65928,95.04633,-8.53133,1.3065,0.63122,0.258,1,15.8951804786446
"50",52.46128,2019-01-15 13:00:00,52.46128,95.12225,-8.61733,1.3035,0.5236,0.338,1,15.5464824187064
"51",45.63761,2019-01-15 13:30:00,45.63761,95.23414,-8.65,1.3045,0.56606,0.383,1,15.1510191266245
"52",36.64233,2019-01-15 14:00:00,36.64233,95.14467,-8.62967,1.3,0.58065,0.185,1,15.4600665094075
"53",22.67289,2019-01-15 14:30:00,22.67183,95.03406,-8.51233,1.3015,0.56334,0.176,0.999953248130256,15.958275497725
"54",13.90344,2019-01-16 09:30:00,13.81078,95.62175,-7.45267,1.277,0.4687,0.322,0.993335462302855,15.280933392075
"55",27.10689,2019-01-16 10:00:00,27.10578,95.44939,-7.52167,1.276,0.43408,0.212,0.999959051001424,15.7976928187705
"56",43.78567,2019-01-16 10:30:00,43.78539,95.10494,-7.48567,1.28,0.45117,0.346,0.99999360521376,17.0410138859801
