"","AirTemp","Time","FricVel","NEP","PPFD","PPFDdiff","RelHum","SoilTempA","SoilWatCont","DiffuseFract","VaporPressureDeficit"
"1",7.76467,2015-07-01 00:00:00,0.3745,2.318,13.6,13.951,68.42,8.58633,0.199,1.02580882352941,333.497827478913
"2",5.479,2015-07-02 00:00:00,0.1493,1.793,25.23333,20.05013,99.35,8.428,0.195,0.794589140632647,5.864343981091
"3",5.316,2015-07-02 01:00:00,0.1147,1.531,35.26667,25.548,99.63,8.189,0.1945,0.724423371982668,3.30052113529825
"4",5.08567,2015-07-02 01:30:00,0.1522,1.175,50,31.64183,99.68333,8.071,0.194,0.6328366,2.77981990927196
"5",5.14033,2015-07-02 02:00:00,0.1631,0.79,67.66667,40.8154,99.74667,7.95467,0.194,0.603183221518068,2.23229647580752
"6",5.346,2015-07-02 02:30:00,0.1678,-0.217,117.6,63.98873,99.94333,7.84433,0.194,0.544121853741497,0.506571786274208
"7",5.605,2015-07-02 03:00:00,0.2123,-1.493,189.06667,85.69753,100.02667,7.74967,0.194,0.453266194406449,-0.242734687052575
"8",5.88767,2015-07-02 03:30:00,0.3016,-2.954,290.83333,127.68047,96.58,7.66833,0.194,0.439015947725111,31.7432745554977
"9",6.20933,2015-07-02 04:00:00,0.3395,-3.421,332.9,168.9178,92.62667,7.61633,0.195,0.507413036948033,69.977237426924
"10",6.44433,2015-07-02 04:30:00,0.3283,-3.163,311.8,178.04953,85.96333,7.59267,0.195,0.571037620269403,135.395432677103
"11",6.31433,2015-07-02 05:00:00,0.3194,-2.997,296.93333,161.24527,83.74,7.58967,0.195,0.543035266536094,155.440403400373
"12",6.94167,2015-07-02 05:30:00,0.3664,-4.831,514.66667,192.42393,70.90333,7.60033,0.195,0.373880690583674,290.43699193284
"13",7.67933,2015-07-02 06:00:00,0.4623,-6.551,721.7,215.87567,65.48333,7.62133,0.195,0.299121061382846,362.392995732092
"14",8.047,2015-07-02 06:30:00,0.3903,-5.774,783.7,190.47513,58.64667,7.65367,0.195,0.243045974224831,445.193430316859
"15",8.45433,2015-07-02 07:00:00,0.3355,-5.882,848.7,146.60633,58.53333,7.69867,0.1945,0.172742229291858,458.945525760314
"16",8.90767,2015-07-02 07:30:00,0.3261,-6.004,938.53333,163.2186,53.39,7.758,0.194,0.173908155185069,531.956554076679
"17",9.65733,2015-07-02 08:00:00,0.4933,-6.447,1023.36667,182.46873,50.82667,7.828,0.195,0.178302396735278,590.297103187743
"18",10.066,2015-07-02 08:30:00,0.4414,-7.305,1099,220.95407,47.62759,7.92733,0.195,0.201050109190173,646.174955711547
"19",10.41233,2015-07-02 09:00:00,0.4714,-4.751,1160.16667,189.00847,45.88,8.031,0.194,0.162914928421448,683.384086602706
"20",10.56733,2015-07-02 09:30:00,0.281,-6.159,1224.46667,215.38073,43.17667,8.118,0.1935,0.175897584864437,724.98126397976
"21",11.096,2015-07-02 10:00:00,0.295,-6.061,1200.93333,500.777,42.49667,8.24267,0.194,0.416989842392,759.933560103899
"22",12.09033,2015-07-02 10:30:00,0.4964,-6.303,1298.53333,459.45433,42.23,8.501,0.193,0.35382559645196,815.366857704657
"23",12.52967,2015-07-02 11:00:00,0.4387,-6.889,1335.3,333.9194,40.06,8.899,0.193,0.250070695723807,870.798456618928
"24",13.07367,2015-07-02 11:30:00,0.4083,-7.904,1411.03333,366.84633,39.53333,9.43233,0.193,0.259984170607791,910.323769166743
"25",13.30567,2015-07-02 12:00:00,0.1868,-5.667,1326.9,338.33893,38.15667,10.08533,0.193,0.254984497701409,945.264960803762
"26",13.71933,2015-07-02 12:30:00,0.4059,-10.564,1049.7,454.52347,40.63667,10.72267,0.1925,0.433003210441078,932.143034139338
"27",14.28567,2015-07-02 13:00:00,0.4805,-10.512,1063.2,702.25467,39.01333,11.12033,0.192,0.660510411963883,993.482376806157
"28",14.43233,2015-07-02 13:30:00,0.4597,-8.764,819.4,623.556,39.05333,11.28133,0.191,0.760990969001709,1002.29781676063
"29",14.92667,2015-07-02 14:00:00,0.8057,-10.783,896.4,597.45467,40.20333,11.286,0.19,0.666504540383757,1015.2683120992
"30",15.251,2015-07-02 14:30:00,0.4477,-7.888,972.66667,610.12667,38.28667,11.206,0.19,0.627272105458286,1069.90386917449
"31",14.70433,2015-07-02 15:00:00,0.6887,-8.093,618.53333,582.68133,40.25667,11.12867,0.189,0.942037076643873,999.925144133226
"32",14.737,2015-07-02 15:30:00,0.5281,-4.278,534.06667,509.36933,40.24333,11.01067,0.189,0.95375607318839,1002.2589345242
"33",14.36233,2015-07-02 16:00:00,0.5746,-3.21,336.7,337.892,41.17667,10.88567,0.188,1.00354024354024,963.007817764466
"34",14.21967,2015-07-02 16:30:00,0.5069,-2.102,299.23333,307.8984,41.67333,10.749,0.1875,1.02895756966645,946.097896153648
"35",14.26733,2015-07-02 17:00:00,0.6278,-1.586,247.46667,253.12507,40.18333,10.59933,0.187,1.02286530141615,973.266412064097
"36",13.86,2015-07-02 17:30:00,0.7274,0.091,182.7,194.8456,41.24,10.46167,0.1865,1.06647837985769,931.144877724891
"37",13.61167,2015-07-02 18:00:00,0.5579,-0.129,143.33333,149.10373,44.82667,10.31867,0.186,1.04025860558741,860.302548596177
"38",13.35867,2015-07-02 18:30:00,0.4704,0.75,106.73333,109.6328,48.20333,10.19067,0.186,1.02716555362791,794.445685018654
"39",13.29033,2015-07-02 19:00:00,0.5025,1.091,109.56667,116.132,48.92,10.07967,0.1855,1.05992086827135,779.968075031583
"40",13.144,2015-07-02 19:30:00,0.4924,2.61,62.06667,66.2088,49.08333,9.97633,0.185,1.06673678481542,770.080412392049
"41",12.83733,2015-07-02 20:00:00,0.6136,3.116,39.66667,38.6479,52.20333,9.88567,0.185,0.974316724847334,708.534413537557
"42",12.63733,2015-07-02 20:30:00,0.7066,3.448,19.5,20.0847,53.10333,9.80133,0.1845,1.02998461538462,686.138220867907
"43",11.973,2015-07-02 21:00:00,0.6954,4.517,30.16667,32.6703,57.71,9.72067,0.184,1.08299325049798,592.282946670562
"44",11.508,2015-07-02 21:30:00,0.7022,3.947,23.36667,25.09113,61.74333,9.64233,0.184,1.07379998947218,519.582667182207
"45",11.39333,2015-07-02 22:00:00,0.7445,4.413,17.93333,18.58227,63.14,9.56633,0.184,1.03618625207923,496.826186988759
"46",10.94833,2015-07-02 22:30:00,0.6993,0.929,12.36667,12.7276,72.31333,9.49,0.184,1.02918570641895,362.319021321927
"47",8.67733,2015-07-03 02:00:00,0.5477,3.133,14.83333,14.17413,99.67667,9.119,0.1975,0.955559540575178,3.63306954703216
"48",9.392,2015-07-03 02:30:00,0.579,4.643,15.93333,16.08187,99.91333,9.08333,0.198,1.00932259609259,1.02201757601711
"49",9.60767,2015-07-03 03:00:00,0.5548,2.479,22.26667,22.08503,99.88333,9.06133,0.1985,0.99184251619124,1.3958884346207
"50",9.82467,2015-07-03 03:30:00,0.5969,1.562,37.66667,37.708,99.91,9.05,0.1995,1.00109725654007,1.09260636228555
"51",5.705,2015-07-04 00:00:00,0.3821,1.932,20.6,16.43747,83.29,8.94933,0.232,0.797935436893204,153.144188869147
"52",5.52533,2015-07-04 00:30:00,0.5338,0.814,25.2,20.77383,78.23333,8.84,0.2315,0.824358333333333,197.013867023517
"53",4.986,2015-07-04 01:00:00,0.3025,1.545,34.26667,27.8073,82.96667,8.73767,0.231,0.811497002772665,148.487066452251
"54",4.655,2015-07-04 01:30:00,0.3969,1.335,42.13333,33.2438,86.03667,8.633,0.2305,0.789014302928347,118.940205473965
